,0
N,8800000
rho,0.095
epsilon,0.25
phi,0.25
compliance_max,0.8
beta_floor,0.1
obs,"{'delay_sd': 2.0, 'delay_maxlag': 14}"
y0_anchor_weight,100
I0_anchor,5272.891140687756
C0_anchor,1123.2079291666696
R0_anchor,1714994.9033021028
P0_anchor,1.426649315086054e-05
F0_anchor,1.695996168255858e-05
beta0,0.8246591094905342
gamma,0.49652557728998065
alpha,4.9999999999999996e-06
rho_obs,0.21800987883696307
delta,0.06861557167399912
k,5.90043457409476
log_theta,1.0327821215132507
I0,1999.998001
C0,1123.2079291666696
P0,1.426649315086054e-05
F0,1.695996168255858e-05
R0,2000.0
a1,0.047204953135001566
b1,-0.018938322822874457
a2,0.02354686310457388
b2,0.10692882711557516
delay_mean,3.4407549652439036
