,0
N,8800000
rho,0.095
epsilon,0.25
phi,0.25
compliance_max,0.8
beta_floor,0.1
obs,"{'delay_sd': 2.0, 'delay_maxlag': 14}"
y0_anchor_weight,100
I0_anchor,954.0589191853257
C0_anchor,175.76343270670517
R0_anchor,237169.22081528307
P0_anchor,0.4590801210519671
F0_anchor,0.47544141354197267
beta0,0.8644647794210425
gamma,0.47962547779641473
alpha,0.5730806619762441
rho_obs,0.2442654480841902
delta,0.05851552001085959
k,0.501919817213926
log_theta,2.3306916956937185
I0,954.0589191853257
C0,175.76343270670517
P0,0.4590801210519671
F0,0.47544141354197267
R0,2000.0
a1,0.05798430950393604
b1,0.0997858005321443
a2,-0.06710860833465598
b2,0.009342511224644983
delay_mean,3.8503843798960933
