,0
beta0,0.8246591094905342
gamma,0.49652557728998065
alpha,4.9999999999999996e-06
rho_obs,0.21800987883696307
delta,0.06861557167399912
k,5.90043457409476
log_theta,1.0327821215132507
I0,1959.637243352886
C0,418.1842973891454
P0,5.663520596299321e-06
F0,7.125507768675595e-06
R0,2000.0
a1,0.047204953135001566
b1,-0.018938322822874457
a2,0.02354686310457388
b2,0.10692882711557516
delay_mean,3.4407549652439036
